match_id,date,team_a,team_b,venue,city,season,stage,winner,result,toss_winner,toss_decision
1136561,2018-04-07,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,2018,League stage,Chennai Super Kings,,Chennai Super Kings,field
1136562,2018-04-08,Delhi Capitals,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018,League stage,Punjab Kings,,Punjab Kings,field
1136563,2018-04-08,Royal Challengers Bengaluru,Kolkata Knight Riders,Eden Gardens,Kolkata,2018,League stage,Kolkata Knight Riders,,Kolkata Knight Riders,field
1136564,2018-04-09,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018,League stage,Sunrisers Hyderabad,,Sunrisers Hyderabad,field
1136565,2018-04-10,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2018,League stage,Chennai Super Kings,,Chennai Super Kings,field
1136566,2018-04-11,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,2018,League stage,Rajasthan Royals,,Delhi Capitals,field
1136567,2018-04-12,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018,League stage,Sunrisers Hyderabad,,Sunrisers Hyderabad,field
1136568,2018-04-13,Punjab Kings,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Bengaluru,2018,League stage,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,field
1136569,2018-04-14,Mumbai Indians,Delhi Capitals,Wankhede Stadium,Mumbai,2018,League stage,Delhi Capitals,,Delhi Capitals,field
1136570,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,2018,League stage,Sunrisers Hyderabad,,Sunrisers Hyderabad,field
1136571,2018-04-15,Rajasthan Royals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Bengaluru,2018,League stage,Rajasthan Royals,,Royal Challengers Bengaluru,field
1136572,2018-04-15,Punjab Kings,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018,League stage,Punjab Kings,,Chennai Super Kings,field
1136573,2018-04-16,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata,2018,League stage,Kolkata Knight Riders,,Delhi Capitals,field
1136574,2018-04-17,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,2018,League stage,Mumbai Indians,,Royal Challengers Bengaluru,field
1136575,2018-04-18,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,2018,League stage,Kolkata Knight Riders,,Kolkata Knight Riders,field
1136576,2018-04-19,Punjab Kings,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018,League stage,Punjab Kings,,Punjab Kings,bat
1136577,2018-04-20,Chennai Super Kings,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,2018,League stage,Chennai Super Kings,,Rajasthan Royals,field
1136578,2018-04-21,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata,2018,League stage,Punjab Kings,,Punjab Kings,field
1136579,2018-04-21,Delhi Capitals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Bengaluru,2018,League stage,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,field
1136580,2018-04-22,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018,League stage,Chennai Super Kings,,Sunrisers Hyderabad,field
1136581,2018-04-22,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018,League stage,Rajasthan Royals,,Mumbai Indians,bat
1136582,2018-04-23,Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,Delhi,2018,League stage,Punjab Kings,,Delhi Capitals,field
1136583,2018-04-24,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2018,League stage,Sunrisers Hyderabad,,Mumbai Indians,field
1136584,2018-04-25,Royal Challengers Bengaluru,Chennai Super Kings,M.Chinnaswamy Stadium,Bengaluru,2018,League stage,Chennai Super Kings,,Chennai Super Kings,field
1136585,2018-04-26,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,Hyderabad,2018,League stage,Sunrisers Hyderabad,,Punjab Kings,field
1136586,2018-04-27,Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi,2018,League stage,Delhi Capitals,,Kolkata Knight Riders,field
1136587,2018-04-28,Chennai Super Kings,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,2018,League stage,Mumbai Indians,,Mumbai Indians,field
1136588,2018-04-29,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018,League stage,Sunrisers Hyderabad,,Sunrisers Hyderabad,bat
1136589,2018-04-29,Royal Challengers Bengaluru,Kolkata Knight Riders,M.Chinnaswamy Stadium,Bengaluru,2018,League stage,Kolkata Knight Riders,,Kolkata Knight Riders,field
1136590,2018-04-30,Chennai Super Kings,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,2018,League stage,Chennai Super Kings,,Delhi Capitals,field
1136591,2018-05-01,Royal Challengers Bengaluru,Mumbai Indians,M.Chinnaswamy Stadium,Bengaluru,2018,League stage,Royal Challengers Bengaluru,,Mumbai Indians,field
1136592,2018-05-02,Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Delhi,2018,League stage,Delhi Capitals,,Rajasthan Royals,field
1136593,2018-05-03,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2018,League stage,Kolkata Knight Riders,,Kolkata Knight Riders,field
1136594,2018-05-04,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium,Indore,2018,League stage,Mumbai Indians,,Mumbai Indians,field
1136595,2018-05-05,Royal Challengers Bengaluru,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018,League stage,Chennai Super Kings,,Chennai Super Kings,field
1136596,2018-05-05,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018,League stage,Sunrisers Hyderabad,,Delhi Capitals,bat
1136597,2018-05-06,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,2018,League stage,Mumbai Indians,,Kolkata Knight Riders,field
1136598,2018-05-06,Rajasthan Royals,Punjab Kings,Holkar Cricket Stadium,Indore,2018,League stage,Punjab Kings,,Punjab Kings,field
1136599,2018-05-07,Sunrisers Hyderabad,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,Hyderabad,2018,League stage,Sunrisers Hyderabad,,Royal Challengers Bengaluru,field
1136600,2018-05-08,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Jaipur,2018,League stage,Rajasthan Royals,,Rajasthan Royals,bat
1136601,2018-05-09,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata,2018,League stage,Mumbai Indians,,Kolkata Knight Riders,field
1136602,2018-05-10,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,2018,League stage,Sunrisers Hyderabad,,Delhi Capitals,bat
1136603,2018-05-11,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018,League stage,Rajasthan Royals,,Chennai Super Kings,bat
1136604,2018-05-12,Kolkata Knight Riders,Punjab Kings,Holkar Cricket Stadium,Indore,2018,League stage,Kolkata Knight Riders,,Punjab Kings,field
1136605,2018-05-12,Delhi Capitals,Royal Challengers Bengaluru,Arun Jaitley Stadium,Delhi,2018,League stage,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,field
1136606,2018-05-13,Sunrisers Hyderabad,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,2018,League stage,Chennai Super Kings,,Chennai Super Kings,field
1136607,2018-05-13,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,2018,League stage,Rajasthan Royals,,Rajasthan Royals,field
1136608,2018-05-14,Punjab Kings,Royal Challengers Bengaluru,Holkar Cricket Stadium,Indore,2018,League stage,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,field
1136609,2018-05-15,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2018,League stage,Kolkata Knight Riders,,Kolkata Knight Riders,field
1136610,2018-05-16,Mumbai Indians,Punjab Kings,Wankhede Stadium,Mumbai,2018,League stage,Mumbai Indians,,Punjab Kings,field
