match_id,player,team,runs,balls_faced,balls_bowled,runs_conceded,wickets
1136561,RG Sharma,Mumbai Indians,15.0,19.0,,,
1136561,DL Chahar,Chennai Super Kings,0.0,1.0,18.0,14.0,1.0
1136561,E Lewis,Mumbai Indians,0.0,2.0,,,
1136561,SR Watson,Chennai Super Kings,16.0,14.0,25.0,28.0,2.0
1136561,Ishan Kishan,Mumbai Indians,40.0,29.0,,,
1136561,SA Yadav,Mumbai Indians,43.0,29.0,,,
1136561,Harbhajan Singh,Chennai Super Kings,8.0,6.0,12.0,14.0,
1136561,RA Jadeja,Chennai Super Kings,12.0,13.0,6.0,9.0,
1136561,MA Wood,Chennai Super Kings,1.0,5.0,25.0,48.0,
1136561,Imran Tahir,Chennai Super Kings,2.0,2.0,12.0,23.0,1.0
1136561,DJ Bravo,Chennai Super Kings,68.0,30.0,24.0,25.0,
1136561,HH Pandya,Mumbai Indians,22.0,20.0,27.0,21.0,3.0
1136561,KH Pandya,Mumbai Indians,41.0,23.0,,,
1136561,MJ McClenaghan,Mumbai Indians,,,25.0,43.0,1.0
1136561,AT Rayudu,Chennai Super Kings,22.0,19.0,,,
1136561,Mustafizur Rahman,Mumbai Indians,,,23.0,39.0,1.0
1136561,JJ Bumrah,Mumbai Indians,,,25.0,36.0,1.0
1136561,SK Raina,Chennai Super Kings,4.0,6.0,,,
1136561,M Markande,Mumbai Indians,,,24.0,23.0,3.0
1136561,MS Dhoni,Chennai Super Kings,5.0,5.0,,,
1136561,KM Jadhav,Chennai Super Kings,24.0,23.0,,,
1136562,C Munro,Delhi Capitals,4.0,6.0,,,
1136562,R Ashwin,Punjab Kings,,,25.0,22.0,1.0
1136562,G Gambhir,Delhi Capitals,55.0,42.0,,,
1136562,MM Sharma,Punjab Kings,,,24.0,33.0,2.0
1136562,Mujeeb Ur Rahman,Punjab Kings,,,25.0,27.0,2.0
1136562,SS Iyer,Delhi Capitals,11.0,13.0,,,
1136562,AR Patel,Punjab Kings,,,18.0,35.0,1.0
1136562,AJ Tye,Punjab Kings,,,26.0,36.0,
1136562,V Shankar,Delhi Capitals,13.0,14.0,,,
1136562,MP Stoinis,Punjab Kings,22.0,15.0,6.0,7.0,
1136562,RR Pant,Delhi Capitals,28.0,13.0,,,
1136562,R Tewatia,Delhi Capitals,9.0,7.0,24.0,24.0,1.0
1136562,CH Morris,Delhi Capitals,27.0,16.0,18.0,25.0,1.0
1136562,DT Christian,Delhi Capitals,13.0,13.0,12.0,12.0,1.0
1136562,KL Rahul,Punjab Kings,51.0,16.0,,,
1136562,TA Boult,Delhi Capitals,,,24.0,33.0,1.0
1136562,MA Agarwal,Punjab Kings,7.0,5.0,,,
1136562,Mohammed Shami,Delhi Capitals,,,12.0,26.0,
1136562,A Mishra,Delhi Capitals,,,24.0,46.0,
1136562,Yuvraj Singh,Punjab Kings,12.0,22.0,,,
1136562,KK Nair,Punjab Kings,50.0,33.0,,,
1136562,DA Miller,Punjab Kings,24.0,23.0,,,
1136563,BB McCullum,Royal Challengers Bengaluru,43.0,28.0,,,
1136563,R Vinay Kumar,Kolkata Knight Riders,6.0,4.0,12.0,30.0,2.0
1136563,Q de Kock,Royal Challengers Bengaluru,4.0,4.0,,,
1136563,PP Chawla,Kolkata Knight Riders,,,24.0,31.0,1.0
1136563,V Kohli,Royal Challengers Bengaluru,31.0,33.0,,,
1136563,Kuldeep Yadav,Kolkata Knight Riders,,,19.0,28.0,
1136563,SP Narine,Kolkata Knight Riders,50.0,20.0,24.0,30.0,1.0
1136563,MG Johnson,Kolkata Knight Riders,,,24.0,30.0,1.0
1136563,AB de Villiers,Royal Challengers Bengaluru,44.0,23.0,,,
1136563,AD Russell,Kolkata Knight Riders,15.0,13.0,12.0,10.0,
1136563,N Rana,Kolkata Knight Riders,34.0,27.0,6.0,11.0,2.0
1136563,Mandeep Singh,Royal Challengers Bengaluru,37.0,18.0,,,
1136563,SN Khan,Royal Challengers Bengaluru,6.0,10.0,,,
1136563,CR Woakes,Royal Challengers Bengaluru,5.0,5.0,26.0,34.0,3.0
1136563,YS Chahal,Royal Challengers Bengaluru,,,19.0,28.0,
1136563,CA Lynn,Kolkata Knight Riders,5.0,8.0,,,
1136563,RV Uthappa,Kolkata Knight Riders,13.0,12.0,,,
1136563,Washington Sundar,Royal Challengers Bengaluru,,,25.0,47.0,1.0
1136563,UT Yadav,Royal Challengers Bengaluru,,,26.0,25.0,2.0
1136563,K Khejroliya,Royal Challengers Bengaluru,,,27.0,30.0,
1136563,KD Karthik,Kolkata Knight Riders,35.0,32.0,,,
1136563,RK Singh,Kolkata Knight Riders,6.0,7.0,,,
1136564,AM Rahane,Rajasthan Royals,13.0,14.0,,,
1136564,B Kumar,Sunrisers Hyderabad,,,27.0,27.0,1.0
1136564,DJM Short,Rajasthan Royals,4.0,5.0,12.0,9.0,
1136564,SV Samson,Rajasthan Royals,49.0,43.0,,,
1136564,B Stanlake,Sunrisers Hyderabad,,,25.0,28.0,1.0
1136564,Shakib Al Hasan,Sunrisers Hyderabad,,,24.0,23.0,2.0
1136564,S Kaul,Sunrisers Hyderabad,,,25.0,16.0,2.0
1136564,BA Stokes,Rajasthan Royals,5.0,8.0,13.0,20.0,
1136564,Rashid Khan,Sunrisers Hyderabad,,,24.0,23.0,1.0
1136564,RA Tripathi,Rajasthan Royals,17.0,15.0,,,
1136564,JC Buttler,Rajasthan Royals,6.0,9.0,,,
1136564,K Gowtham,Rajasthan Royals,0.0,2.0,6.0,9.0,
1136564,S Gopal,Rajasthan Royals,18.0,20.0,18.0,18.0,
1136564,DS Kulkarni,Rajasthan Royals,3.0,4.0,18.0,17.0,
1136564,JD Unadkat,Rajasthan Royals,1.0,2.0,19.0,27.0,1.0
1136564,B Laughlin,Rajasthan Royals,1.0,3.0,14.0,19.0,
1136564,WP Saha,Sunrisers Hyderabad,5.0,6.0,,,
1136564,S Dhawan,Sunrisers Hyderabad,78.0,59.0,,,
1136564,KS Williamson,Sunrisers Hyderabad,36.0,35.0,,,
1136565,CA Lynn,Kolkata Knight Riders,22.0,16.0,,,
1136565,DL Chahar,Chennai Super Kings,,,7.0,17.0,
1136565,SP Narine,Kolkata Knight Riders,12.0,5.0,24.0,17.0,1.0
1136565,Harbhajan Singh,Chennai Super Kings,,,12.0,11.0,1.0
1136565,RV Uthappa,Kolkata Knight Riders,29.0,17.0,,,
1136565,SR Watson,Chennai Super Kings,42.0,19.0,26.0,37.0,2.0
1136565,RA Jadeja,Chennai Super Kings,11.0,8.0,12.0,19.0,1.0
1136565,Imran Tahir,Chennai Super Kings,,,24.0,26.0,
1136565,N Rana,Kolkata Knight Riders,16.0,14.0,,,
1136565,SN Thakur,Chennai Super Kings,,,24.0,37.0,1.0
1136565,KD Karthik,Kolkata Knight Riders,26.0,26.0,,,
1136565,RK Singh,Kolkata Knight Riders,2.0,4.0,,,
1136565,AD Russell,Kolkata Knight Riders,88.0,36.0,24.0,35.0,
1136565,DJ Bravo,Chennai Super Kings,11.0,5.0,18.0,50.0,
1136565,TK Curran,Kolkata Knight Riders,2.0,5.0,18.0,39.0,2.0
1136565,R Vinay Kumar,Kolkata Knight Riders,,,13.0,33.0,
1136565,AT Rayudu,Chennai Super Kings,39.0,26.0,,,
1136565,PP Chawla,Kolkata Knight Riders,,,25.0,48.0,1.0
1136565,SK Raina,Chennai Super Kings,14.0,12.0,,,
1136565,Kuldeep Yadav,Kolkata Knight Riders,,,19.0,26.0,1.0
1136565,MS Dhoni,Chennai Super Kings,25.0,30.0,,,
1136565,SW Billings,Chennai Super Kings,56.0,23.0,,,
1136566,AM Rahane,Rajasthan Royals,45.0,40.0,,,
1136566,TA Boult,Delhi Capitals,,,18.0,26.0,1.0
1136566,DJM Short,Rajasthan Royals,6.0,3.0,,,
1136566,S Nadeem,Delhi Capitals,,,24.0,34.0,2.0
1136566,BA Stokes,Rajasthan Royals,16.0,12.0,,,
1136566,CH Morris,Delhi Capitals,17.0,7.0,18.0,34.0,
1136566,SV Samson,Rajasthan Royals,37.0,22.0,,,
1136566,Mohammed Shami,Delhi Capitals,,,24.0,28.0,1.0
1136566,R Tewatia,Delhi Capitals,,,25.0,28.0,
1136566,JC Buttler,Rajasthan Royals,29.0,19.0,,,
1136566,RA Tripathi,Rajasthan Royals,15.0,11.0,,,
1136566,K Gowtham,Rajasthan Royals,2.0,2.0,6.0,10.0,
1136566,GJ Maxwell,Delhi Capitals,17.0,12.0,,,
1136566,RR Pant,Delhi Capitals,20.0,15.0,,,
1136566,DS Kulkarni,Rajasthan Royals,,,7.0,3.0,
1136566,JD Unadkat,Rajasthan Royals,,,12.0,24.0,1.0
1136566,B Laughlin,Rajasthan Royals,,,12.0,20.0,2.0
1136566,V Shankar,Delhi Capitals,3.0,3.0,,,
1136567,RG Sharma,Mumbai Indians,11.0,10.0,,,
1136567,Sandeep Sharma,Sunrisers Hyderabad,0.0,2.0,24.0,25.0,2.0
1136567,E Lewis,Mumbai Indians,29.0,18.0,,,
1136567,B Stanlake,Sunrisers Hyderabad,5.0,2.0,25.0,41.0,2.0
1136567,Ishan Kishan,Mumbai Indians,9.0,9.0,,,
1136567,Rashid Khan,Sunrisers Hyderabad,0.0,1.0,25.0,12.0,1.0
1136567,S Kaul,Sunrisers Hyderabad,0.0,4.0,25.0,28.0,2.0
1136567,SA Yadav,Mumbai Indians,28.0,31.0,,,
1136567,Shakib Al Hasan,Sunrisers Hyderabad,12.0,12.0,25.0,33.0,1.0
1136567,KH Pandya,Mumbai Indians,15.0,11.0,12.0,10.0,
1136567,KA Pollard,Mumbai Indians,28.0,23.0,,,
1136567,BCJ Cutting,Mumbai Indians,9.0,9.0,25.0,39.0,
1136567,PJ Sangwan,Mumbai Indians,0.0,5.0,12.0,19.0,
1136567,JJ Bumrah,Mumbai Indians,4.0,5.0,24.0,32.0,2.0
1136567,M Markande,Mumbai Indians,6.0,3.0,24.0,23.0,4.0
1136567,WP Saha,Sunrisers Hyderabad,22.0,20.0,,,
1136567,S Dhawan,Sunrisers Hyderabad,45.0,28.0,,,
1136567,KS Williamson,Sunrisers Hyderabad,6.0,4.0,,,
1136567,Mustafizur Rahman,Mumbai Indians,,,24.0,24.0,3.0
1136567,MK Pandey,Sunrisers Hyderabad,11.0,8.0,,,
1136567,DJ Hooda,Sunrisers Hyderabad,32.0,26.0,,,
1136567,YK Pathan,Sunrisers Hyderabad,14.0,14.0,,,
1136568,KL Rahul,Punjab Kings,47.0,30.0,,,
1136568,CR Woakes,Royal Challengers Bengaluru,1.0,2.0,23.0,33.0,2.0
1136568,MA Agarwal,Punjab Kings,15.0,11.0,,,
1136568,UT Yadav,Royal Challengers Bengaluru,,,24.0,23.0,3.0
1136568,K Khejroliya,Royal Challengers Bengaluru,,,24.0,33.0,2.0
1136568,AJ Finch,Punjab Kings,0.0,1.0,,,
1136568,Yuvraj Singh,Punjab Kings,4.0,4.0,,,
1136568,KK Nair,Punjab Kings,29.0,27.0,,,
1136568,YS Chahal,Royal Challengers Bengaluru,,,24.0,38.0,1.0
1136568,Washington Sundar,Royal Challengers Bengaluru,9.0,4.0,24.0,22.0,2.0
1136568,MP Stoinis,Punjab Kings,11.0,9.0,,,
1136568,AR Patel,Punjab Kings,2.0,3.0,24.0,25.0,1.0
1136568,R Ashwin,Punjab Kings,33.0,21.0,24.0,30.0,2.0
1136568,AJ Tye,Punjab Kings,7.0,8.0,25.0,26.0,1.0
1136568,MM Sharma,Punjab Kings,1.0,3.0,21.0,45.0,
1136568,Mujeeb Ur Rahman,Punjab Kings,0.0,2.0,24.0,29.0,1.0
1136568,Q de Kock,Royal Challengers Bengaluru,45.0,34.0,,,
1136568,BB McCullum,Royal Challengers Bengaluru,0.0,1.0,,,
1136568,V Kohli,Royal Challengers Bengaluru,21.0,16.0,,,
1136568,AB de Villiers,Royal Challengers Bengaluru,57.0,40.0,,,
1136568,SN Khan,Royal Challengers Bengaluru,0.0,1.0,,,
1136568,Mandeep Singh,Royal Challengers Bengaluru,22.0,20.0,,,
1136569,SA Yadav,Mumbai Indians,53.0,32.0,,,
1136569,TA Boult,Delhi Capitals,,,25.0,38.0,2.0
1136569,E Lewis,Mumbai Indians,48.0,31.0,,,
1136569,S Nadeem,Delhi Capitals,,,14.0,20.0,
1136569,Mohammed Shami,Delhi Capitals,,,24.0,36.0,1.0
1136569,DT Christian,Delhi Capitals,,,18.0,35.0,2.0
1136569,R Tewatia,Delhi Capitals,,,25.0,35.0,2.0
1136569,GJ Maxwell,Delhi Capitals,13.0,6.0,19.0,20.0,
1136569,Ishan Kishan,Mumbai Indians,44.0,23.0,,,
1136569,RG Sharma,Mumbai Indians,18.0,16.0,,,
1136569,KA Pollard,Mumbai Indians,0.0,1.0,,,
1136569,KH Pandya,Mumbai Indians,11.0,11.0,18.0,21.0,2.0
1136569,HH Pandya,Mumbai Indians,2.0,3.0,12.0,32.0,
1136569,A Dananjaya,Mumbai Indians,4.0,5.0,25.0,46.0,
1136569,M Markande,Mumbai Indians,4.0,3.0,18.0,42.0,
1136569,JJ Roy,Delhi Capitals,91.0,54.0,,,
1136569,G Gambhir,Delhi Capitals,15.0,16.0,,,
1136569,JJ Bumrah,Mumbai Indians,,,24.0,27.0,
1136569,Mustafizur Rahman,Mumbai Indians,,,24.0,25.0,1.0
1136569,RR Pant,Delhi Capitals,47.0,25.0,,,
1136569,SS Iyer,Delhi Capitals,27.0,20.0,,,
1136570,RV Uthappa,Kolkata Knight Riders,3.0,8.0,,,
1136570,B Kumar,Sunrisers Hyderabad,,,26.0,24.0,3.0
1136570,CA Lynn,Kolkata Knight Riders,49.0,34.0,,,
1136570,B Stanlake,Sunrisers Hyderabad,,,24.0,21.0,2.0
1136570,N Rana,Kolkata Knight Riders,18.0,16.0,,,
1136570,S Kaul,Sunrisers Hyderabad,,,24.0,37.0,1.0
1136570,Rashid Khan,Sunrisers Hyderabad,,,24.0,31.0,
1136570,Shakib Al Hasan,Sunrisers Hyderabad,27.0,21.0,25.0,18.0,2.0
1136570,SP Narine,Kolkata Knight Riders,9.0,11.0,25.0,16.0,2.0
1136570,KD Karthik,Kolkata Knight Riders,29.0,27.0,,,
1136570,AD Russell,Kolkata Knight Riders,9.0,5.0,18.0,39.0,
1136570,Shubman Gill,Kolkata Knight Riders,3.0,9.0,,,
1136570,Shivam Mavi,Kolkata Knight Riders,7.0,8.0,6.0,10.0,
1136570,MG Johnson,Kolkata Knight Riders,4.0,5.0,22.0,26.0,1.0
1136570,WP Saha,Sunrisers Hyderabad,24.0,18.0,,,
1136570,S Dhawan,Sunrisers Hyderabad,7.0,8.0,,,
1136570,KS Williamson,Sunrisers Hyderabad,50.0,44.0,,,
1136570,PP Chawla,Kolkata Knight Riders,,,24.0,20.0,1.0
1136570,MK Pandey,Sunrisers Hyderabad,4.0,11.0,,,
1136570,Kuldeep Yadav,Kolkata Knight Riders,,,24.0,23.0,1.0
1136570,DJ Hooda,Sunrisers Hyderabad,5.0,9.0,,,
1136570,YK Pathan,Sunrisers Hyderabad,17.0,8.0,,,
1136571,AM Rahane,Rajasthan Royals,36.0,22.0,,,
1136571,Washington Sundar,Royal Challengers Bengaluru,35.0,21.0,24.0,30.0,
1136571,DJM Short,Rajasthan Royals,11.0,18.0,6.0,10.0,1.0
1136571,CR Woakes,Royal Challengers Bengaluru,0.0,1.0,26.0,45.0,2.0
1136571,UT Yadav,Royal Challengers Bengaluru,,,28.0,55.0,
1136571,YS Chahal,Royal Challengers Bengaluru,,,25.0,21.0,2.0
1136571,SV Samson,Rajasthan Royals,92.0,46.0,,,
1136571,BA Stokes,Rajasthan Royals,27.0,22.0,20.0,30.0,1.0
1136571,K Khejroliya,Royal Challengers Bengaluru,,,19.0,39.0,
