match_id,team,runs_scored,balls_faced,won
1136561,Mumbai Indians,165,122,False
1136561,Chennai Super Kings,169,124,True
1136562,Delhi Capitals,166,124,False
1136562,Punjab Kings,167,114,True
1136563,Royal Challengers Bengaluru,176,121,False
1136563,Kolkata Knight Riders,177,123,True
1136564,Rajasthan Royals,125,125,False
1136564,Sunrisers Hyderabad,127,100,True
1136565,Kolkata Knight Riders,202,123,False
1136565,Chennai Super Kings,205,123,True
1136566,Rajasthan Royals,153,109,True
1136566,Delhi Capitals,60,37,False
1136567,Mumbai Indians,147,124,False
1136567,Sunrisers Hyderabad,151,121,True
1136568,Punjab Kings,155,119,False
1136568,Royal Challengers Bengaluru,159,118,True
1136569,Mumbai Indians,194,125,False
1136569,Delhi Capitals,195,121,True
1136570,Kolkata Knight Riders,138,123,False
1136570,Sunrisers Hyderabad,139,119,True
1136571,Rajasthan Royals,217,128,True
1136571,Royal Challengers Bengaluru,198,123,False
1136572,Punjab Kings,197,121,True
1136572,Chennai Super Kings,193,129,False
1136573,Kolkata Knight Riders,200,122,True
1136573,Delhi Capitals,129,91,False
1136574,Mumbai Indians,213,127,True
1136574,Royal Challengers Bengaluru,167,124,False
1136575,Rajasthan Royals,160,124,False
1136575,Kolkata Knight Riders,163,115,True
1136576,Punjab Kings,193,123,True
1136576,Sunrisers Hyderabad,178,130,False
1136577,Chennai Super Kings,204,126,True
1136577,Rajasthan Royals,140,119,False
1136578,Kolkata Knight Riders,191,128,False
1136578,Punjab Kings,126,69,True
1136579,Delhi Capitals,174,123,False
1136579,Royal Challengers Bengaluru,176,111,True
1136580,Chennai Super Kings,182,124,True
1136580,Sunrisers Hyderabad,178,122,False
1136581,Mumbai Indians,167,124,False
1136581,Rajasthan Royals,168,124,True
1136582,Punjab Kings,143,124,True
1136582,Delhi Capitals,139,127,False
1136583,Sunrisers Hyderabad,118,116,True
1136583,Mumbai Indians,87,114,False
1136584,Royal Challengers Bengaluru,205,124,False
1136584,Chennai Super Kings,207,127,True
1136585,Sunrisers Hyderabad,132,123,True
1136585,Punjab Kings,119,116,False
1136586,Delhi Capitals,219,123,True
1136586,Kolkata Knight Riders,164,123,False
1136587,Chennai Super Kings,169,124,False
1136587,Mumbai Indians,170,123,True
1136588,Sunrisers Hyderabad,151,120,True
1136588,Rajasthan Royals,140,120,False
1136589,Royal Challengers Bengaluru,175,124,False
1136589,Kolkata Knight Riders,176,122,True
1136590,Chennai Super Kings,211,124,True
1136590,Delhi Capitals,198,126,False
1136591,Royal Challengers Bengaluru,167,123,True
1136591,Mumbai Indians,153,130,False
1136592,Delhi Capitals,196,109,True
1136592,Rajasthan Royals,146,75,False
1136593,Chennai Super Kings,177,123,False
1136593,Kolkata Knight Riders,180,113,True
1136594,Punjab Kings,174,125,False
1136594,Mumbai Indians,176,116,True
1136595,Royal Challengers Bengaluru,127,121,False
1136595,Chennai Super Kings,128,112,True
1136596,Delhi Capitals,163,122,False
1136596,Sunrisers Hyderabad,164,124,True
1136597,Mumbai Indians,181,125,True
1136597,Kolkata Knight Riders,168,121,False
1136598,Rajasthan Royals,152,121,False
1136598,Punjab Kings,155,115,True
1136599,Sunrisers Hyderabad,146,126,True
1136599,Royal Challengers Bengaluru,141,123,False
1136600,Rajasthan Royals,158,122,True
1136600,Punjab Kings,143,122,False
1136601,Mumbai Indians,210,125,True
1136601,Kolkata Knight Riders,108,109,False
1136602,Delhi Capitals,187,121,False
1136602,Sunrisers Hyderabad,191,114,True
1136603,Chennai Super Kings,176,131,False
1136603,Rajasthan Royals,177,121,True
1136604,Kolkata Knight Riders,245,125,True
1136604,Punjab Kings,214,126,False
1136605,Delhi Capitals,181,126,False
1136605,Royal Challengers Bengaluru,187,119,True
1136606,Sunrisers Hyderabad,179,130,False
1136606,Chennai Super Kings,180,115,True
1136607,Mumbai Indians,168,127,False
1136607,Rajasthan Royals,171,112,True
1136608,Punjab Kings,88,94,False
1136608,Royal Challengers Bengaluru,92,51,True
1136609,Rajasthan Royals,142,115,False
1136609,Kolkata Knight Riders,145,109,True
1136610,Mumbai Indians,186,126,True
1136610,Punjab Kings,183,125,False
1136611,Royal Challengers Bengaluru,218,122,True
1136611,Sunrisers Hyderabad,204,123,False
1136612,Delhi Capitals,162,126,True
1136612,Chennai Super Kings,128,120,False
1136613,Rajasthan Royals,164,124,True
1136613,Royal Challengers Bengaluru,134,117,False
1136614,Sunrisers Hyderabad,172,126,False
1136614,Kolkata Knight Riders,173,123,True
1136615,Delhi Capitals,174,125,True
1136615,Mumbai Indians,163,122,False
1136616,Punjab Kings,153,124,False
1136616,Chennai Super Kings,159,123,True
1136617,Sunrisers Hyderabad,139,129,False
1136617,Chennai Super Kings,140,118,True
1136618,Kolkata Knight Riders,169,126,True
1136618,Rajasthan Royals,144,121,False
1136619,Sunrisers Hyderabad,174,124,True
1136619,Kolkata Knight Riders,160,121,False
1136620,Sunrisers Hyderabad,178,127,False
1136620,Chennai Super Kings,181,114,True
1175356,Royal Challengers Bengaluru,70,104,False
1175356,Chennai Super Kings,71,110,True
1175357,Sunrisers Hyderabad,181,123,False
1175357,Kolkata Knight Riders,183,121,True
1175358,Delhi Capitals,213,124,True
1175358,Mumbai Indians,176,122,False
1175359,Punjab Kings,184,128,True
1175359,Rajasthan Royals,170,124,False
1175360,Delhi Capitals,147,125,False
1175360,Chennai Super Kings,150,121,True
1175361,Kolkata Knight Riders,218,124,True
1175361,Punjab Kings,190,125,False
1175362,Mumbai Indians,187,125,True
1175362,Royal Challengers Bengaluru,181,123,False
1175363,Rajasthan Royals,198,124,False
1175363,Sunrisers Hyderabad,201,119,True
1175364,Mumbai Indians,176,124,False
1175364,Punjab Kings,177,119,True
1175365,Kolkata Knight Riders,192,130,False
1175365,Delhi Capitals,195,129,False
1175366,Sunrisers Hyderabad,231,121,True
1175366,Royal Challengers Bengaluru,113,123,False
1175367,Chennai Super Kings,175,126,True
1175367,Rajasthan Royals,167,125,False
1175368,Punjab Kings,166,124,True
1175368,Delhi Capitals,152,121,False
1175369,Royal Challengers Bengaluru,158,122,False
1175369,Rajasthan Royals,164,124,True
1175370,Mumbai Indians,170,125,True
1175370,Chennai Super Kings,133,127,False
1175371,Delhi Capitals,129,122,False
1175371,Sunrisers Hyderabad,131,114,True
1175372,Royal Challengers Bengaluru,205,124,False
1175372,Kolkata Knight Riders,206,122,True
1178393,Chennai Super Kings,160,125,True
1178393,Punjab Kings,138,124,False
1178394,Mumbai Indians,136,124,True
1178394,Sunrisers Hyderabad,96,109,False
1178395,Royal Challengers Bengaluru,149,124,False
1178395,Delhi Capitals,152,120,True
1178396,Rajasthan Royals,139,125,False
1178396,Kolkata Knight Riders,140,86,True
1178397,Sunrisers Hyderabad,150,123,False
1178397,Punjab Kings,151,119,True
1178398,Kolkata Knight Riders,108,123,False
1178398,Chennai Super Kings,111,108,True
1178399,Punjab Kings,197,125,False
1178399,Mumbai Indians,198,127,True
1178400,Rajasthan Royals,151,122,False
1178400,Chennai Super Kings,155,124,True
1178401,Kolkata Knight Riders,178,124,False
1178401,Delhi Capitals,180,115,True
1178402,Mumbai Indians,187,123,False
1178402,Rajasthan Royals,188,119,True
1178403,Punjab Kings,173,125,False
1178403,Royal Challengers Bengaluru,174,117,True
1178404,Kolkata Knight Riders,161,125,False
1178404,Chennai Super Kings,162,120,True
1178405,Delhi Capitals,155,124,True
1178405,Sunrisers Hyderabad,116,117,False
1178406,Royal Challengers Bengaluru,171,121,False
1178406,Mumbai Indians,172,120,True
1178407,Punjab Kings,182,122,True
1178407,Rajasthan Royals,170,126,False
1178408,Chennai Super Kings,132,123,False
1178408,Sunrisers Hyderabad,137,104,True
1178409,Mumbai Indians,168,124,True
1178409,Delhi Capitals,128,123,False
1178410,Royal Challengers Bengaluru,213,125,True
1178410,Kolkata Knight Riders,203,128,False
1178411,Mumbai Indians,161,124,False
1178411,Rajasthan Royals,162,115,True
1178412,Punjab Kings,163,122,False
1178412,Delhi Capitals,166,126,True
1178413,Kolkata Knight Riders,159,124,False
1178413,Sunrisers Hyderabad,161,94,True
1178414,Royal Challengers Bengaluru,161,122,True
1178414,Chennai Super Kings,160,123,False
1178415,Rajasthan Royals,191,124,False
1178415,Delhi Capitals,193,117,True
1178416,Sunrisers Hyderabad,175,123,False
1178416,Chennai Super Kings,176,121,True
1178417,Royal Challengers Bengaluru,202,125,True
1178417,Punjab Kings,185,124,False
1178418,Kolkata Knight Riders,175,123,False
1178418,Rajasthan Royals,177,121,True
1178419,Mumbai Indians,155,123,True
1178419,Chennai Super Kings,109,112,False
1178420,Sunrisers Hyderabad,160,123,False
1178420,Rajasthan Royals,161,118,True
1178421,Delhi Capitals,187,120,True
1178421,Royal Challengers Bengaluru,171,122,False
1178422,Kolkata Knight Riders,232,126,True
1178422,Mumbai Indians,198,120,False
1178423,Sunrisers Hyderabad,212,130,True
1178423,Punjab Kings,167,127,False
1178424,Royal Challengers Bengaluru,62,31,False
1178424,Rajasthan Royals,41,20,False
1178425,Chennai Super Kings,179,125,True
1178425,Delhi Capitals,99,98,False
1178426,Mumbai Indians,171,125,False
1178426,Sunrisers Hyderabad,170,126,False
